chart_week,title,performer
1973-08-25,Brother Louie,Stories
1973-09-08,Let's Get It On,Marvin Gaye
1973-09-15,Delta Dawn,Helen Reddy
1973-09-29,We're An American Band,Grand Funk
1973-10-06,Half-Breed,Cher
1973-10-20,Angie,The Rolling Stones
1973-10-27,Midnight Train To Georgia,Gladys Knight And The Pips
1973-11-10,Keep On Truckin' (Part 1),Eddie Kendricks
1973-11-24,Photograph,Ringo Starr
1973-12-01,Top Of The World,Carpenters
1973-12-15,The Most Beautiful Girl,Charlie Rich
1973-12-29,Time In A Bottle,Jim Croce
1974-01-12,The Joker,The Steve Miller Band
1974-01-19,Show And Tell,Al Wilson
1974-01-26,You're Sixteen,Ringo Starr
1974-02-02,The Way We Were,Barbra Streisand
1974-02-09,Love's Theme,Love Unlimited Orchestra
1974-03-02,Seasons In The Sun,Terry Jacks
1974-03-23,Dark Lady,Cher
1974-03-30,Sunshine On My Shoulders,John Denver
1974-04-06,Hooked On A Feeling,Blue Swede
1974-04-13,Bennie And The Jets,Elton John
1974-04-20,TSOP (The Sound Of Philadelphia),MFSB Featuring The Three Degrees
1974-05-04,The Loco-Motion,Grand Funk
1974-05-18,The Streak,Ray Stevens
1974-06-08,Band On The Run,Paul McCartney And Wings
1974-06-15,"Billy, Don't Be A Hero",Bo Donaldson And The Heywoods
1974-06-29,Sundown,Gordon Lightfoot
1974-07-06,Rock The Boat,The Hues Corporation
1974-07-13,Rock Your Baby,George McCrae
1974-07-27,ANNIE's SONG,John Denver
1974-08-10,Feel Like Makin' Love,Roberta Flack
1974-08-17,The Night Chicago Died,Paper Lace
1974-08-24,(You're) Having My Baby,Paul Anka with Odia Coates
1974-09-14,I Shot The Sheriff,Eric Clapton
1974-09-21,"Can't Get Enough Of Your Love, Babe",Barry White
1974-09-28,Rock Me Gently,Andy Kim
1974-10-05,I Honestly Love You,Olivia Newton-John
1974-10-19,Nothing From Nothing,Billy Preston
1974-10-26,Then Came You,Dionne Warwicke & Spinners
1974-11-02,You Haven't Done Nothin,Stevie Wonder
1974-11-09,You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive
1974-11-16,Whatever Gets You Thru The Night,John Lennon With The Plastic Ono Nuclear Band
1974-11-23,I Can Help,Billy Swan
1974-12-07,Kung Fu Fighting,Carl Douglas
1974-12-21,Cat's In The Cradle,Harry Chapin
1974-12-28,Angie Baby,Helen Reddy
1975-01-04,Lucy In The Sky With Diamonds,Elton John
1975-01-18,Mandy,Barry Manilow
1975-01-25,Please Mr. Postman,Carpenters
1975-02-01,Laughter In The Rain,Neil Sedaka
1975-02-08,Fire,Ohio Players
1975-02-15,You're No Good,Linda Ronstadt
1975-02-22,Pick Up The Pieces,AWB
1975-03-01,Best Of My Love,Eagles
1975-03-08,Have You Never Been Mellow,Olivia Newton-John
1975-03-15,Black Water,The Doobie Brothers
1975-03-22,My Eyes Adored You,Frankie Valli
1975-03-29,Lady Marmalade,Labelle
1975-04-05,Lovin' You,Minnie Riperton
1975-04-12,Philadelphia Freedom,The Elton John Band
1975-04-26,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas
1975-05-03,He Don't Love You (Like I Love You),Tony Orlando & Dawn
1975-05-24,Shining Star,"Earth, Wind & Fire"
1975-05-31,Before The Next Teardrop Falls,Freddy Fender
1975-06-07,Thank God I'm A Country Boy,John Denver
1975-06-14,Sister Golden Hair,America
1975-06-21,Love Will Keep Us Together,The Captain & Tennille
1975-07-19,Listen To What The Man Said,Wings
1975-07-26,The Hustle,Van McCoy & The Soul City Symphony
1975-08-02,One Of These Nights,Eagles
1975-08-09,Jive Talkin',Bee Gees
1975-08-23,Fallin' In Love,"Hamilton, Joe Frank & Reynolds"
1975-08-30,Get Down Tonight,KC And The Sunshine Band
1975-09-06,Rhinestone Cowboy,Glen Campbell
1975-09-20,Fame,David Bowie
1975-09-27,I'm Sorry,John Denver
1975-10-11,Bad Blood,Neil Sedaka
1975-11-01,Island Girl,Elton John
1975-11-22,That's The Way (I Like It),KC And The Sunshine Band
1975-11-29,"Fly, Robin, Fly",Silver Convention
1975-12-27,Let's Do It Again,The Staple Singers
1976-01-03,Saturday Night,Bay City Rollers
1976-01-10,Convoy,C.W. McCall
1976-01-17,I Write The Songs,Barry Manilow
1976-01-24,Theme From Mahogany (Do You Know Where You're Going To),Diana Ross
1976-01-31,Love Rollercoaster,Ohio Players
1976-02-07,50 Ways To Leave Your Lover,Paul Simon
1976-02-28,Theme From S.W.A.T.,Rhythm Heritage
1976-03-06,Love Machine (Part 1),The Miracles
1976-03-13,"December, 1963 (Oh, What a Night)",The 4 Seasons
1976-04-03,Disco Lady,Johnnie Taylor
1976-05-01,Let Your Love Flow,Bellamy Brothers
1976-05-08,Welcome Back,John Sebastian
1976-05-15,Boogie Fever,The Sylvers
1976-05-22,Silly Love Songs,Wings
1976-05-29,Love Hangover,Diana Ross
1976-07-10,Afternoon Delight,Starland Vocal Band
1976-07-24,Kiss And Say Goodbye,The Manhattans
1976-08-07,Don't Go Breaking My Heart,Elton John & Kiki Dee
1976-09-04,You Should Be Dancing,Bee Gees
1976-09-11,"(Shake, Shake, Shake) Shake Your Booty",KC And The Sunshine Band
1976-09-18,Play That Funky Music,Wild Cherry
1976-10-09,A Fifth Of Beethoven,Walter Murphy & The Big Apple Band
1976-10-16,Disco Duck (Part I),Rick Dees & His Cast Of Idiots
1976-10-23,If You Leave Me Now,Chicago
1976-11-06,Rock'n Me,Steve Miller
1976-11-13,Tonight's The Night (Gonna Be Alright),Rod Stewart
1977-03-12,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand
1977-03-26,Rich Girl,Daryl Hall John Oates
1977-04-09,Dancing Queen,ABBA
1977-04-16,Don't Give Up On Us,David Soul
1977-04-23,Don't Leave Me This Way,Thelma Houston
1977-04-30,Southern Nights,Glen Campbell
1977-05-07,Hotel California,Eagles
1977-05-14,When I Need You,Leo Sayer
1977-05-21,Sir Duke,Stevie Wonder
1977-06-11,I'm Your Boogie Man,KC And The Sunshine Band
1977-06-18,Dreams,Fleetwood Mac
1977-06-25,Got To Give It Up (Pt. I),Marvin Gaye
1977-07-02,Gonna Fly Now,Bill Conti
1977-07-09,Undercover Angel,Alan O'Day
1977-07-16,Da Doo Ron Ron,Shaun Cassidy
1977-07-23,Looks Like We Made It,Barry Manilow
1977-07-30,I Just Want To Be Your Everything,Andy Gibb
1977-08-20,Best Of My Love,The Emotions
1977-10-01,Star Wars Theme/Cantina Band,Meco
1977-10-15,You Light Up My Life,Debby Boone
1977-12-24,How Deep Is Your Love,Bee Gees
1978-01-14,Baby Come Back,Player
1978-02-04,Stayin' Alive,Bee Gees
1978-03-04,(Love Is) Thicker Than Water,Andy Gibb
1978-03-18,Night Fever,Bee Gees
